open,high,low,close,ma20,ma50,ma100,upper_bb20_2,lower_bb20_2,bb_status,lagged_close_1,pl_close_1_hr,trade_close_1_hr,lagged_close_4,pl_close_4_hr,trade_close_4_hr,month,time,hr,weekday,weekday_name,up_bb20_low_bb20_diff,close_ma20_diff,close_ma50_diff,close_ma100_diff,ma20_ma50_diff,ma50_ma100_diff,bb_slope_lag1,market_state_lag1,market_bb
133.532,133.81,133.47,133.804,133.14950000000002,132.15422,131.41518,134.16221485049792,132.13678514950212,inside_bb,133.535,-0.26900000000000546,0,133.399,-0.40500000000000114,0,January,01:00:00,1,4,Friday,2.025429700995801,0.6544999999999845,1.6497799999999927,2.3888200000000097,0.9952800000000082,0.739040000000017,0.07311779601946,bullish,continue
133.805,133.825,133.572,133.64,133.2096,132.20669999999998,131.44405999999998,134.18656380367037,132.23263619632962,inside_bb,133.804,0.1640000000000157,1,133.409,-0.23099999999999454,0,January,02:00:00,2,4,Friday,1.953927607340745,0.4303999999999917,1.4333000000000027,2.1959400000000073,1.002900000000011,0.7626400000000046,0.024348953172449228,flat,continue
133.644,133.944,133.627,133.813,133.2762,132.27008,131.47374,134.22523820565206,132.32716179434792,inside_bb,133.64,-0.17300000000000182,0,133.317,-0.4959999999999809,0,January,03:00:00,3,4,Friday,1.898076411304146,0.5367999999999995,1.542919999999981,2.339259999999996,1.0061199999999815,0.7963400000000149,0.03867440198169447,flat,continue
133.815,133.924,133.77,133.911,133.34225,132.332,131.50365,134.27392057087224,132.41057942912778,inside_bb,133.813,-0.09800000000001319,0,133.535,-0.3760000000000048,0,January,04:00:00,4,4,Friday,1.8633411417444563,0.5687499999999943,1.5790000000000077,2.407350000000008,1.0102500000000134,0.8283500000000004,0.04868236522017355,flat,continue
133.913,134.371,133.84,134.156,133.4234,132.40215999999998,131.53578000000002,134.34090747021074,132.50589252978924,upper_hit,133.911,-0.24500000000000455,0,133.804,-0.35200000000000387,0,January,05:00:00,5,4,Friday,1.8350149404215017,0.7326000000000192,1.7538400000000252,2.620219999999989,1.021240000000006,0.866379999999964,0.06698689933850233,bullish,continue
134.159,134.196,133.96,134.024,133.50055,132.46612,131.56582,134.34062580484888,132.66047419515112,inside_bb,134.156,0.132000000000005,1,133.64,-0.38400000000001455,0,January,06:00:00,6,4,Friday,1.6801516096977593,0.5234499999999969,1.5578800000000115,2.4581799999999987,1.0344300000000146,0.9002999999999872,-0.0002816653618538112,flat,continue
134.025,134.322,133.689,134.22,133.58905,132.53358,131.59876999999997,134.33024575509182,132.84785424490815,upper_near,134.024,-0.19599999999999795,0,133.813,-0.4070000000000107,0,January,07:00:00,7,4,Friday,1.4823915101836747,0.6309500000000128,1.6864199999999983,2.6212300000000255,1.0554699999999855,0.9348100000000272,-0.010380049757060306,flat,continue
134.224,134.443,134.149,134.346,133.6684,132.60604,131.63309,134.3744005665704,132.9623994334296,upper_hit,134.22,-0.12600000000000477,0,133.911,-0.4350000000000023,0,January,08:00:00,8,4,Friday,1.412001133140791,0.6776000000000124,1.7399599999999964,2.7129099999999937,1.062359999999984,0.9729499999999973,0.04415481147856326,flat,reverse
134.348,134.591,134.277,134.409,133.70445,132.68934000000002,131.6678,134.48442124778168,132.92447875221833,upper_hit,134.346,-0.06299999999998818,0,134.156,-0.2529999999999859,0,January,09:00:00,9,4,Friday,1.559942495563348,0.7045499999999834,1.7196599999999762,2.741199999999992,1.0151099999999929,1.0215400000000159,0.11002068121129582,bullish,continue
134.41,134.411,134.217,134.359,133.7352,132.76644,131.70172,134.56841156724275,132.90198843275724,inside_bb,134.409,0.04999999999998295,1,134.024,-0.33500000000000796,0,January,10:00:00,10,4,Friday,1.6664231344855125,0.623800000000017,1.5925600000000202,2.6572800000000143,0.9687600000000032,1.0647199999999941,0.08399031946106561,bullish,continue
