date,open,high,low,close
01/01/2023 22:00,130.783,130.783,130.747,130.752
01/01/2023 23:00,130.732,130.845,130.732,130.845
02/01/2023 00:00,130.86,131.037,130.811,130.92
02/01/2023 01:00,130.913,130.98,130.762,130.943
02/01/2023 02:00,130.949,131.175,130.823,131.02
02/01/2023 03:00,131.021,131.093,130.811,130.925
02/01/2023 04:00,130.928,130.963,130.791,130.914
02/01/2023 05:00,130.918,130.973,130.857,130.938
02/01/2023 06:00,130.936,130.995,130.824,130.967
02/01/2023 07:00,130.952,130.985,130.9,130.931
02/01/2023 08:00,130.954,130.967,130.9,130.924
02/01/2023 09:00,130.927,130.964,130.849,130.879
02/01/2023 10:00,130.864,130.879,130.746,130.783
02/01/2023 11:00,130.778,130.89,130.752,130.769
02/01/2023 12:00,130.764,130.806,130.69,130.736
02/01/2023 13:00,130.735,130.756,130.61,130.642
02/01/2023 14:00,130.637,130.778,130.624,130.702
02/01/2023 15:00,130.703,130.836,130.556,130.784
02/01/2023 16:00,130.772,130.837,130.631,130.745
02/01/2023 17:00,130.739,130.809,130.666,130.777
02/01/2023 18:00,130.772,130.803,130.652,130.787
02/01/2023 19:00,130.788,130.793,130.71,130.741
02/01/2023 20:00,130.724,130.745,130.679,130.72
02/01/2023 21:00,130.713,130.752,130.538,130.73
02/01/2023 22:00,130.731,130.875,130.613,130.738
02/01/2023 23:00,130.765,131.402,130.529,130.792
03/01/2023 00:00,130.789,130.907,130.56,130.607
03/01/2023 01:00,130.608,130.716,129.793,130.147
03/01/2023 02:00,130.148,130.306,129.77,129.92
03/01/2023 03:00,129.923,130.075,129.665,129.788
03/01/2023 04:00,129.789,129.803,129.495,129.593
03/01/2023 05:00,129.592,129.954,129.549,129.813
03/01/2023 06:00,129.815,130.171,129.61,129.842
03/01/2023 07:00,129.843,130.253,129.78,130.111
03/01/2023 08:00,130.107,130.959,130.091,130.778
03/01/2023 09:00,130.779,130.801,130.251,130.415
03/01/2023 10:00,130.413,130.734,130.359,130.692
03/01/2023 11:00,130.691,130.887,130.62,130.873
03/01/2023 12:00,130.875,131.201,130.829,130.974
03/01/2023 13:00,130.966,131.006,130.58,130.653
03/01/2023 14:00,130.655,130.794,130.047,130.184
03/01/2023 15:00,130.185,130.933,130.173,130.74
03/01/2023 16:00,130.74,131.107,130.62,130.835
03/01/2023 17:00,130.832,130.884,130.721,130.79
03/01/2023 18:00,130.793,130.815,130.59,130.622
03/01/2023 19:00,130.619,130.79,130.558,130.772
03/01/2023 20:00,130.78,130.964,130.748,130.959
03/01/2023 21:00,130.962,131.038,130.882,131.008
03/01/2023 22:00,131.03,131.06,130.951,130.994
03/01/2023 23:00,130.979,131.463,130.969,131.293
04/01/2023 00:00,131.295,131.308,130.816,131.016
04/01/2023 01:00,131.014,131.219,130.57,130.644
04/01/2023 02:00,130.644,130.935,130.625,130.815
04/01/2023 03:00,130.813,130.857,130.613,130.648
04/01/2023 04:00,130.649,130.951,130.639,130.826
04/01/2023 05:00,130.832,130.992,130.749,130.847
04/01/2023 06:00,130.848,130.877,130.678,130.723
04/01/2023 07:00,130.729,130.755,130.1,130.244
04/01/2023 08:00,130.247,130.527,129.91,130.504
04/01/2023 09:00,130.503,130.63,130.26,130.423
04/01/2023 10:00,130.422,130.572,130.41,130.426
04/01/2023 11:00,130.43,130.596,130.27,130.532
04/01/2023 12:00,130.531,130.978,130.513,130.834
04/01/2023 13:00,130.83,130.926,130.577,130.707
04/01/2023 14:00,130.711,131.126,130.696,131.001
04/01/2023 15:00,131.005,132.088,130.958,132.011
04/01/2023 16:00,132.01,132.2,131.93,132.001
04/01/2023 17:00,132.001,132.72,131.99,132.544
04/01/2023 18:00,132.548,132.6,132.38,132.475
04/01/2023 19:00,132.494,132.717,132.426,132.613
04/01/2023 20:00,132.614,132.691,132.48,132.681
04/01/2023 21:00,132.678,132.714,132.6,132.626
04/01/2023 22:00,132.624,132.632,132.318,132.372
04/01/2023 23:00,132.387,132.457,132.061,132.248
05/01/2023 00:00,132.246,132.327,131.808,131.878
05/01/2023 01:00,131.884,132.014,131.67,131.969
05/01/2023 02:00,131.971,132.2,131.91,131.98
05/01/2023 03:00,131.978,132.394,131.93,132.348
05/01/2023 04:00,132.349,132.426,132.178,132.307
05/01/2023 05:00,132.308,132.625,132.296,132.478
05/01/2023 06:00,132.482,132.573,132.24,132.438
05/01/2023 07:00,132.436,132.612,132.264,132.481
05/01/2023 08:00,132.481,132.903,132.428,132.59
05/01/2023 09:00,132.591,132.696,132.42,132.533
05/01/2023 10:00,132.531,132.64,132.377,132.481
05/01/2023 11:00,132.48,132.599,132.31,132.45
05/01/2023 12:00,132.454,132.766,132.38,132.759
05/01/2023 13:00,132.758,133.73,132.734,133.688
05/01/2023 14:00,133.684,133.786,133.466,133.744
05/01/2023 15:00,133.741,134.052,133.58,133.869
05/01/2023 16:00,133.868,133.915,133.46,133.577
05/01/2023 17:00,133.576,133.587,133.061,133.249
05/01/2023 18:00,133.244,133.329,132.951,133.118
05/01/2023 19:00,133.115,133.33,133.104,133.185
05/01/2023 20:00,133.188,133.368,133.182,133.364
05/01/2023 21:00,133.363,133.44,133.346,133.399
05/01/2023 22:00,133.401,133.439,133.332,133.409
05/01/2023 23:00,133.409,133.519,133.269,133.317
06/01/2023 00:00,133.321,133.64,133.302,133.535
06/01/2023 01:00,133.532,133.81,133.47,133.804
06/01/2023 02:00,133.805,133.825,133.572,133.64
06/01/2023 03:00,133.644,133.944,133.627,133.813
06/01/2023 04:00,133.815,133.924,133.77,133.911
06/01/2023 05:00,133.913,134.371,133.84,134.156
06/01/2023 06:00,134.159,134.196,133.96,134.024
06/01/2023 07:00,134.025,134.322,133.689,134.22
06/01/2023 08:00,134.224,134.443,134.149,134.346
06/01/2023 09:00,134.348,134.591,134.277,134.409
06/01/2023 10:00,134.41,134.411,134.217,134.359
06/01/2023 11:00,134.362,134.63,134.258,134.53
06/01/2023 12:00,134.529,134.688,134.45,134.672
06/01/2023 13:00,134.67,134.772,133.231,133.368
06/01/2023 14:00,133.374,134.104,133.25,134
06/01/2023 15:00,133.994,133.994,132.351,132.431
06/01/2023 16:00,132.432,132.545,132.18,132.208
06/01/2023 17:00,132.211,132.345,132.074,132.11
06/01/2023 18:00,132.107,132.22,132.045,132.097
06/01/2023 19:00,132.096,132.112,131.992,132.019
06/01/2023 20:00,132.033,132.13,132.022,132.094
06/01/2023 21:00,132.095,132.159,132.016,132.076
08/01/2023 22:00,131.904,132.13,131.904,132.123
08/01/2023 23:00,132.101,132.285,131.785,131.802
09/01/2023 00:00,131.807,132.112,131.706,131.828
09/01/2023 01:00,131.828,131.997,131.588,131.741
09/01/2023 02:00,131.741,131.784,131.34,131.349
09/01/2023 03:00,131.347,131.645,131.302,131.629
09/01/2023 04:00,131.625,131.727,131.527,131.699
09/01/2023 05:00,131.699,131.912,131.684,131.845
09/01/2023 06:00,131.843,131.944,131.712,131.803
09/01/2023 07:00,131.806,132.368,131.6,132.233
09/01/2023 08:00,132.23,132.272,131.989,132.147
09/01/2023 09:00,132.148,132.572,132.13,132.441
09/01/2023 10:00,132.438,132.655,132.363,132.622
09/01/2023 11:00,132.619,132.64,132.36,132.51
09/01/2023 12:00,132.507,132.517,132.124,132.284
09/01/2023 13:00,132.282,132.287,131.723,131.782
09/01/2023 14:00,131.783,132.068,131.683,131.878
09/01/2023 15:00,131.883,132.072,131.829,131.944
09/01/2023 16:00,131.948,131.955,131.552,131.578
09/01/2023 17:00,131.579,131.935,131.55,131.76
09/01/2023 18:00,131.762,131.881,131.67,131.849
09/01/2023 19:00,131.85,131.857,131.52,131.567
09/01/2023 20:00,131.566,131.878,131.563,131.79
09/01/2023 21:00,131.797,131.894,131.77,131.86
09/01/2023 22:00,131.877,131.95,131.746,131.879
09/01/2023 23:00,131.889,131.922,131.58,131.73
10/01/2023 00:00,131.729,132.223,131.67,131.702
10/01/2023 01:00,131.7,131.74,131.37,131.52
10/01/2023 02:00,131.517,131.902,131.485,131.793
10/01/2023 03:00,131.788,131.917,131.77,131.828
10/01/2023 04:00,131.829,132.025,131.81,131.987
10/01/2023 05:00,131.985,132.035,131.65,131.775
10/01/2023 06:00,131.774,132.005,131.729,131.916
10/01/2023 07:00,131.915,132.291,131.85,132.222
10/01/2023 08:00,132.218,132.228,131.728,131.836
10/01/2023 09:00,131.827,131.949,131.688,131.82
10/01/2023 10:00,131.823,132.01,131.812,131.975
10/01/2023 11:00,131.974,132.184,131.962,132.043
10/01/2023 12:00,132.045,132.444,132.038,132.387
10/01/2023 13:00,132.387,132.477,132.21,132.29
10/01/2023 14:00,132.288,132.288,131.72,132.01
10/01/2023 15:00,132.011,132.324,131.92,132.172
10/01/2023 16:00,132.173,132.346,132.069,132.255
10/01/2023 17:00,132.252,132.274,132.09,132.205
10/01/2023 18:00,132.208,132.305,132.145,132.26
10/01/2023 19:00,132.261,132.288,132.158,132.23
10/01/2023 20:00,132.231,132.25,132.15,132.233
10/01/2023 21:00,132.234,132.271,132.167,132.242
10/01/2023 22:00,132.25,132.26,131.963,132.189
10/01/2023 23:00,132.162,132.226,132.06,132.102
11/01/2023 00:00,132.102,132.362,132.089,132.26
11/01/2023 01:00,132.261,132.527,132.22,132.394
11/01/2023 02:00,132.395,132.58,132.32,132.557
11/01/2023 03:00,132.559,132.561,132.397,132.451
11/01/2023 04:00,132.453,132.501,132.264,132.271
11/01/2023 05:00,132.273,132.333,132.12,132.263
11/01/2023 06:00,132.259,132.357,132.158,132.316
11/01/2023 07:00,132.312,132.429,132.155,132.421
11/01/2023 08:00,132.418,132.724,132.384,132.681
11/01/2023 09:00,132.68,132.745,132.418,132.48
11/01/2023 10:00,132.479,132.53,132.31,132.494
11/01/2023 11:00,132.496,132.605,132.39,132.582
11/01/2023 12:00,132.579,132.873,132.569,132.772
11/01/2023 13:00,132.769,132.806,132.56,132.689
11/01/2023 14:00,132.689,132.749,132.46,132.526
11/01/2023 15:00,132.522,132.603,132.374,132.593
11/01/2023 16:00,132.593,132.601,132.4,132.581
11/01/2023 17:00,132.58,132.624,132.478,132.483
11/01/2023 18:00,132.486,132.703,132.275,132.325
11/01/2023 19:00,132.318,132.457,132.287,132.414
11/01/2023 20:00,132.41,132.53,132.387,132.53
11/01/2023 21:00,132.528,132.555,132.417,132.46
11/01/2023 22:00,132.469,132.513,132.357,132.415
11/01/2023 23:00,132.423,132.425,131.767,131.901
12/01/2023 00:00,131.902,132.036,131.526,131.907
12/01/2023 01:00,131.905,132.014,131.533,131.665
12/01/2023 02:00,131.666,131.809,131.462,131.619
12/01/2023 03:00,131.621,131.708,131.589,131.698
12/01/2023 04:00,131.697,131.811,131.377,131.444
12/01/2023 05:00,131.446,131.654,131.359,131.635
12/01/2023 06:00,131.637,131.75,131.506,131.72
12/01/2023 07:00,131.721,131.897,131.554,131.599
12/01/2023 08:00,131.6,131.774,131.565,131.69
12/01/2023 09:00,131.694,131.727,130.852,130.959
12/01/2023 10:00,130.954,131.167,130.904,131.007
12/01/2023 11:00,131.002,131.033,130.79,130.881
12/01/2023 12:00,130.882,130.882,130.62,130.682
12/01/2023 13:00,130.682,131.219,129.497,129.64
12/01/2023 14:00,129.639,130.785,129.55,130.601
12/01/2023 15:00,130.599,130.675,129.747,129.838
12/01/2023 16:00,129.837,129.942,129.58,129.759
12/01/2023 17:00,129.756,129.766,129.169,129.192
12/01/2023 18:00,129.197,129.272,128.86,129.16
12/01/2023 19:00,129.163,129.445,129.069,129.298
12/01/2023 20:00,129.294,129.43,129.177,129.195
12/01/2023 21:00,129.193,129.343,129.161,129.26
12/01/2023 22:00,129.287,129.381,129.132,129.299
12/01/2023 23:00,129.3,129.427,129.06,129.168
13/01/2023 00:00,129.171,129.294,128.632,129.216
13/01/2023 01:00,129.217,129.347,128.812,128.931
13/01/2023 02:00,128.93,129.286,128.92,129.165
13/01/2023 03:00,129.162,129.2,129.02,129.119
13/01/2023 04:00,129.117,129.245,129.002,129.211
13/01/2023 05:00,129.211,129.301,129.122,129.162
13/01/2023 06:00,129.164,129.168,128.398,128.55
13/01/2023 07:00,128.551,128.794,128.244,128.376
13/01/2023 08:00,128.378,128.59,128.1,128.332
13/01/2023 09:00,128.336,128.723,128.22,128.524
13/01/2023 10:00,128.521,128.557,128.267,128.366
13/01/2023 11:00,128.369,128.788,128.362,128.748
13/01/2023 12:00,128.749,128.83,128.52,128.534
13/01/2023 13:00,128.529,128.637,128.16,128.239
13/01/2023 14:00,128.236,128.326,127.661,127.698
13/01/2023 15:00,127.685,127.957,127.455,127.507
13/01/2023 16:00,127.508,127.977,127.47,127.857
13/01/2023 17:00,127.863,127.894,127.6,127.707
13/01/2023 18:00,127.708,127.882,127.66,127.854
13/01/2023 19:00,127.849,127.945,127.74,127.929
13/01/2023 20:00,127.931,127.934,127.84,127.883
13/01/2023 21:00,127.886,127.917,127.77,127.845
15/01/2023 22:00,127.754,127.798,127.721,127.763
15/01/2023 23:00,127.758,128.147,127.754,128.05
16/01/2023 00:00,128.049,128.2,127.792,127.856
16/01/2023 01:00,127.857,127.944,127.531,127.678
16/01/2023 02:00,127.679,127.728,127.218,127.366
16/01/2023 03:00,127.37,127.463,127.27,127.405
16/01/2023 04:00,127.4,127.734,127.32,127.664
16/01/2023 05:00,127.664,127.785,127.594,127.605
16/01/2023 06:00,127.606,128.134,127.573,127.976
16/01/2023 07:00,127.977,128.188,127.881,127.97
16/01/2023 08:00,127.967,128.863,127.89,128.717
16/01/2023 09:00,128.712,128.825,128.271,128.368
16/01/2023 10:00,128.369,128.541,128.28,128.39
16/01/2023 11:00,128.386,128.468,128.1,128.303
16/01/2023 12:00,128.304,128.484,128.233,128.428
16/01/2023 13:00,128.426,128.569,128.295,128.425
16/01/2023 14:00,128.427,128.527,128.36,128.47
16/01/2023 15:00,128.469,128.6,128.39,128.531
16/01/2023 16:00,128.535,128.68,128.427,128.583
16/01/2023 17:00,128.578,128.77,128.57,128.712
16/01/2023 18:00,128.711,128.73,128.571,128.589
16/01/2023 19:00,128.585,128.64,128.49,128.557
16/01/2023 20:00,128.561,128.61,128.504,128.541
16/01/2023 21:00,128.542,128.57,128.426,128.566
16/01/2023 22:00,128.572,128.609,128.4,128.435
16/01/2023 23:00,128.456,128.49,128.207,128.336
17/01/2023 00:00,128.338,128.563,128.31,128.406
17/01/2023 01:00,128.407,128.953,128.29,128.8
17/01/2023 02:00,128.812,129.16,128.661,128.988
17/01/2023 03:00,128.983,129.003,128.726,128.772
17/01/2023 04:00,128.773,128.823,128.61,128.67
17/01/2023 05:00,128.667,128.722,128.572,128.647
17/01/2023 06:00,128.645,128.963,128.52,128.92
17/01/2023 07:00,128.92,129.023,128.66,128.732
17/01/2023 08:00,128.725,128.763,128.376,128.458
